Kingdom	Phylum	Class	Order	Family	Genus	Species	NCBI_tax_id	relative_abundance	Species1	Species2	Species3	Species4	Species5	Species6	Species7	Species8	Species9	Species10	Species11	Species12	Species13
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	NA	2|976|200643|171549|815|816	16.93112		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	NA	2|1239|186801|186802|541000|216851	10.2054		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	NA	2|976|200643|171549|171550|239759	4.6905		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacteria	Firmicutes	Clostridia	Clostridiales	Oscillospiraceae	Oscillibacter	NA	2|1239|186801|186802|216572|459786	4.50912		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	NA	2|976|200643|171549|2005525|375288	3.13324		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	NA	2|201174|84998|84999|84107|102106	2.3633		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospira	NA	2|1239|186801|186802|186803|28050	1.90961		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Phascolarctobacterium	NA	2|1239|909932|1843488|909930|33024	1.60533		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	NA	2|201174|1760|85004|31953|1678	1.46317		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus	NA	2|1239|186801|186802|186803|33042	1.4077		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Odoribacteraceae	Butyricimonas	NA	2|976|200643|171549|1853231|574697	1.22227		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	NA	2|1239|186801|186802|186803|841	1.13048		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_unclassified	NA	2|1239|186801|186802|186803|	1.069		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Fusicatenibacter	NA	2|1239|186801|186802|186803|1407607	1.05484		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea	NA	2|1239|186801|186802|186803|189330	1.04775		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	NA	2|1239|186801|186802|186806|1730	0.89539		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	NA	2|1239|91061|186826|1300|1301	0.41766		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Intestinibacter	NA	2|1239|186801|186802|186804|1505657	0.3052		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Holdemanella	NA	2|1239|526524|526525|128827|1573535	0.28185		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Paraprevotella	NA	2|976|200643|171549|171552|577309	0.27632		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	NA	2|1239|186801|186802|186803|572511	0.25863		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Odoribacteraceae	Odoribacter	NA	2|976|200643|171549|1853231|283168	0.22741		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Agathobaculum	NA	2|1239|186801|186802|541000|2048137	0.21893		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	NA	2|1239|186801|186802|31979|1485	0.19509		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacteria	Firmicutes	Firmicutes_unclassified	Firmicutes_unclassified	Firmicutes_unclassified	Firmicutes_unclassified	NA	2|1239||||	0.1797		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerostipes	NA	2|1239|186801|186802|186803|207244	0.17241		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Asaccharobacter	NA	2|201174|84998|1643822|1643826|553372	0.16643		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Gemmiger	NA	2|1239|186801|186802|541000|204475	0.14632		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
