Kingdom	Phylum	Class	Order	Family	Genus	Species	NCBI_tax_id	Patient_ASD	Patient_9	Patient_7	Patient_6	Patient_5	Patient_4	Patient_3	Patient_2	Patient_1	Patient_11
Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Gordonibacter	NA	2|201174|84998|1643822|1643826|644652	0.01553	0.14534	0.0556	1.67422	0.16966	0.27276	0.71734	0.25944	0.72754	0.12971
Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Gordonibacter	pamelaeae	2|201174|84998|1643822|1643826|644652|471189	0.01553	0.14534	0.0556	1.67422	0.16966	0.27276	0.71734	0.25944	0.72754	0.12971
Bacteria	Bacteroidetes	NA	NA	NA	NA	NA	2|976	2.81595	8.47619	1.54128	0.11243	0.37087	0.16686	0.1266	5.50747	2.08276	0.23744
Bacteria	Bacteroidetes	Bacteroidia	NA	NA	NA	NA	2|976|200643	2.81595	8.47619	1.54128	0.11243	0.37087	0.16686	0.1266	5.50747	2.08276	0.23744
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	NA	NA	NA	2|976|200643|171549	2.81595	8.47619	1.54128	0.11243	0.37087	0.16686	0.1266	5.50747	2.08276	0.23744
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	NA	NA	2|976|200643|171549|815	2.81595	6.87673	1.20467	0.00274	0.24555	0.09333	0.03247	5.47401	0.65835	0.0607
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	NA	2|976|200643|171549|815|816	2.81595	6.87673	1.20467	0.00274	0.24555	0.09333	0.03247	5.47401	0.65835	0.0607
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	caccae	2|976|200643|171549|815|816|47678	0	0.83078	0.09673	0.00274	0	0	0	0	0.25976	0
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	cellulosilyticus	2|976|200643|171549|815|816|246787	0	0.53619	0	0	0.15764	0	0	0	0.00646	0.03555
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	dorei	2|976|200643|171549|815|816|357276	0	0	0	0	0	0	0	0.1043	0	0
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	faecis	2|976|200643|171549|815|816|674529	0	0	0	0	0	0	0	0.40343	0	0
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	fragilis	2|976|200643|171549|815|816|817	1.4692	0	0	0	0.06421	0	0	0	0	0
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	galacturonicus	2|976|200643|171549|815|816|384639	0	0	0	0	0	0	0	0	0.00744	0
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	intestinalis	2|976|200643|171549|815|816|329854	0	0.01513	0	0	0	0	0	0	0	0
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	ovatus	2|976|200643|171549|815|816|28116	0.63489	0.44874	0.1099	0	0	0	0	0.12121	0	0
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	salyersiae	2|976|200643|171549|815|816|291644	0	0.21571	0	0	0	0	0	0	0	0
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	sp_CAG_927	2|976|200643|171549|815|816|1262753	0	1.3149	0	0	0	0	0	0	0	0
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	sp_D2	2|976|200643|171549|815|816|556259	0	0	0	0	0	0	0	0.11238	0	0
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	stercoris	2|976|200643|171549|815|816|46506	0	0	0.00279	0	0	0	0	3.51484	0	0
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	thetaiotaomicron	2|976|200643|171549|815|816|818	0	0.08153	0.00566	0	0	0	0	0	0.00916	0
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	uniformis	2|976|200643|171549|815|816|820	0.71186	0.37137	0.26387	0	0	0.01523	0.02045	1.21785	0.21673	0
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	vulgatus	2|976|200643|171549|815|816|821	0	3.06236	0.72573	0	0.0237	0.0781	0.01202	0	0.15881	0.02515
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Barnesiellaceae	NA	NA	2|976|200643|171549|2005519	0	0.08633	0	0	0	0.0131	0.05736	0	0	0
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Barnesiellaceae	Barnesiella	NA	2|976|200643|171549|2005519|397864	0	0.08633	0	0	0	0.0131	0.05736	0	0	0
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Barnesiellaceae	Barnesiella	intestinihominis	2|976|200643|171549|2005519|397864|487174	0	0.08633	0	0	0	0.0131	0.05736	0	0	0
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Odoribacteraceae	NA	NA	2|976|200643|171549|1853231	0	0.03427	0	0	0	0	0	0.00471	0	0
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Odoribacteraceae	Butyricimonas	NA	2|976|200643|171549|1853231|574697	0	0	0	0	0	0	0	0.00471	0	0
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Odoribacteraceae	Butyricimonas	virosa	2|976|200643|171549|1853231|574697|544645	0	0	0	0	0	0	0	0.00471	0	0
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Odoribacteraceae	Odoribacter	NA	2|976|200643|171549|1853231|283168	0	0.03427	0	0	0	0	0	0	0	0
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Odoribacteraceae	Odoribacter	splanchnicus	2|976|200643|171549|1853231|283168|28118	0	0.03427	0	0	0	0	0	0	0	0
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	NA	NA	2|976|200643|171549|171552	0	0	0	0.08591	0	0	0	0	1.11058	0.17673
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	NA	2|976|200643|171549|171552|838	0	0	0	0.08591	0	0	0	0	1.11058	0.17673
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	copri	2|976|200643|171549|171552|838|165179	0	0	0	0.08591	0	0	0	0	1.11058	0.17673
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	NA	NA	2|976|200643|171549|171550	0	0.62596	0.13423	0.02377	0.12532	0.06042	0.03677	0	0.29867	0
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	NA	2|976|200643|171549|171550|239759	0	0.62596	0.13423	0.02377	0.12532	0.06042	0.03677	0	0.29867	0
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	finegoldii	2|976|200643|171549|171550|239759|214856	0	0	0	0	0.12532	0	0	0	0.01691	0
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	inops	2|976|200643|171549|171550|239759|1501391	0	0	0	0	0	0	0	0	0.09622	0
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	putredinis	2|976|200643|171549|171550|239759|28117	0	0.35857	0.13423	0.02377	0	0.06042	0.03532	0	0.18554	0
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	shahii	2|976|200643|171549|171550|239759|328814	0	0.26739	0	0	0	0	0.00145	0	0	0
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Tannerellaceae	NA	NA	2|976|200643|171549|2005525	0	0.8529	0.20238	0	0	0	0	0.02875	0.01515	0
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	NA	2|976|200643|171549|2005525|375288	0	0.8529	0.20238	0	0	0	0	0.02875	0.01515	0
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	distasonis	2|976|200643|171549|2005525|375288|823	0	0.56421	0.20238	0	0	0	0	0.02875	0.01342	0
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	merdae	2|976|200643|171549|2005525|375288|46503	0	0.2887	0	0	0	0	0	0	0.00173	0
Bacteria	Firmicutes	NA	NA	NA	NA	NA	2|1239	52.13062	83.80698	80.39893	59.0007	97.06547	61.06552	52.87481	74.8161	64.23052	70.5516
Bacteria	Firmicutes	Bacilli	NA	NA	NA	NA	2|1239|91061	0.00796	0.41199	0.26202	22.10945	5.23513	36.14742	40.42491	0.13011	3.23902	38.97104
Bacteria	Firmicutes	Bacilli	Bacillales	NA	NA	NA	2|1239|91061|1385	0	0.01767	0	0	0	0.33121	0	0	0.01198	0
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillales_unclassified	NA	NA	2|1239|91061|1385|	0	0.01767	0	0	0	0.16596	0	0	0.01198	0
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillales_unclassified	Gemella	NA	2|1239|91061|1385||1378	0	0.01767	0	0	0	0.16596	0	0	0.01198	0
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillales_unclassified	Gemella	haemolysans	2|1239|91061|1385||1378|1379	0	0	0	0	0	0.03324	0	0	0	0
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillales_unclassified	Gemella	sanguinis	2|1239|91061|1385||1378|84135	0	0.01767	0	0	0	0.13272	0	0	0.01198	0
Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	NA	NA	2|1239|91061|1385|90964	0	0	0	0	0	0.16524	0	0	0	0
Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Macrococcus	NA	2|1239|91061|1385|90964|69965	0	0	0	0	0	0.16524	0	0	0	0
Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Macrococcus	caseolyticus	2|1239|91061|1385|90964|69965|69966	0	0	0	0	0	0.16524	0	0	0	0
Bacteria	Firmicutes	Bacilli	Lactobacillales	NA	NA	NA	2|1239|91061|186826	0.00796	0.39432	0.26202	22.10945	5.23513	35.81621	40.42491	0.13011	3.22704	38.97104
Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	NA	NA	2|1239|91061|186826|186828	0	0	0	0	0	0.01878	0	0	0	0
Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Carnobacterium	NA	2|1239|91061|186826|186828|2747	0	0	0	0	0	0.01878	0	0	0	0
Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Carnobacterium	maltaromaticum	2|1239|91061|186826|186828|2747|2751	0	0	0	0	0	0.01878	0	0	0	0
Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	NA	NA	2|1239|91061|186826|81852	0	0	0	7.30626	0	34.42704	38.07672	0	0	15.16085
Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	NA	2|1239|91061|186826|81852|1350	0	0	0	7.30626	0	34.42704	38.07672	0	0	15.16085
Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	avium	2|1239|91061|186826|81852|1350|33945	0	0	0	0	0	0	0	0	0	7.87924
Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	casseliflavus	2|1239|91061|186826|81852|1350|37734	0	0	0	0	0	0	1.9388	0	0	0
Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	durans	2|1239|91061|186826|81852|1350|53345	0	0	0	0	0	0	0	0	0	7.28161
Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	faecalis	2|1239|91061|186826|81852|1350|1351	0	0	0	0.61049	0	0	1.74139	0	0	0
Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	faecium	2|1239|91061|186826|81852|1350|1352	0	0	0	2.92213	0	34.42704	34.35113	0	0	0
Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	gallinarum	2|1239|91061|186826|81852|1350|1353	0	0	0	0	0	0	0.04541	0	0	0
Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	hirae	2|1239|91061|186826|81852|1350|1354	0	0	0	3.77364	0	0	0	0	0	0
Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	NA	NA	2|1239|91061|186826|33958	0	0	0	1.87026	0	0	0.96653	0	0.13765	0.1477
Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	NA	2|1239|91061|186826|33958|1578	0	0	0	1.87026	0	0	0.96653	0	0.13765	0.1477
Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	acidophilus	2|1239|91061|186826|33958|1578|1579	0	0	0	0	0	0	0	0	0	0.1477
Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	delbrueckii	2|1239|91061|186826|33958|1578|1584	0	0	0	0	0	0	0	0	0.12585	0
Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	rhamnosus	2|1239|91061|186826|33958|1578|47715	0	0	0	1.87026	0	0	0.96653	0	0	0
Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	rogosae	2|1239|91061|186826|33958|1578|706562	0	0	0	0	0	0	0	0	0.0118	0
Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	NA	NA	2|1239|91061|186826|81850	0	0	0	0	0	0	0	0	0	0.07839
Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Weissella	NA	2|1239|91061|186826|81850|46255	0	0	0	0	0	0	0	0	0	0.07839
Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Weissella	cibaria	2|1239|91061|186826|81850|46255|137591	0	0	0	0	0	0	0	0	0	0.07839
Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	NA	NA	2|1239|91061|186826|1300	0.00796	0.39432	0.26202	12.93292	5.23513	1.37039	1.38166	0.13011	3.08938	23.5841
Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	NA	2|1239|91061|186826|1300|1357	0	0	0	3.0645	0.72957	0	0	0	0	0
Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	lactis	2|1239|91061|186826|1300|1357|1358	0	0	0	3.0645	0.72957	0	0	0	0	0
Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	NA	2|1239|91061|186826|1300|1301	0.00796	0.39432	0.26202	9.86842	4.50556	1.37039	1.38166	0.13011	3.08938	23.5841
Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	australis	2|1239|91061|186826|1300|1301|113107	0	0	0	0	0	0.08964	0	0	0	0
Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	infantis	2|1239|91061|186826|1300|1301|68892	0	0	0	0	0	0.00774	0	0.00872	0	0
Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	mitis	2|1239|91061|186826|1300|1301|28037	0	0	0	0.0461	0	0	0	0	0	0.01279
Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	mutans	2|1239|91061|186826|1300|1301|1309	0	0	0.26202	0	0	0	0	0	0	0
Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	oralis	2|1239|91061|186826|1300|1301|1303	0	0	0	0.06486	0	0	0	0	0	0
Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	parasanguinis	2|1239|91061|186826|1300|1301|1318	0	0	0	0.35268	0	0.07732	0	0.00331	0.04683	0.00858
Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	pyogenes	2|1239|91061|186826|1300|1301|1314	0.00796	0	0	0	0	0	0	0	0	0
